user_id,product_id,rating
300,419,4
545,28,1
707,466,2
583,291,2
680,312,3
835,49,1
905,267,4
209,467,2
709,140,2
121,39,5
428,337,5
482,268,5
68,348,4
243,467,5
296,136,4
879,434,3
696,321,4
225,430,4
299,445,4
469,279,1
555,62,1
293,110,2
959,445,4
986,148,1
704,1,4
601,373,1
46,453,3
837,97,2
25,446,3
321,80,4
852,39,5
777,57,4
973,140,3
124,186,5
582,301,5
325,238,1
941,13,4
241,410,2
209,403,3
702,170,4
32,200,4
255,214,3
24,150,3
556,161,4
270,172,1
717,20,5
429,213,3
275,255,4
203,279,2
213,458,2
492,182,2
789,421,5
931,48,5
876,212,3
976,187,1
167,465,5
717,473,5
216,219,1
396,491,4
854,331,4
698,276,3
363,118,5
705,207,4
31,120,3
269,150,1
845,290,1
419,445,1
126,12,1
134,318,4
553,44,4
260,105,1
817,391,2
380,111,5
208,466,5
245,320,5
46,59,1
782,258,5
592,381,5
145,248,4
946,481,2
824,130,2
253,486,2
488,136,5
265,128,5
345,485,1
222,374,4
963,446,1
753,253,5
451,139,1
484,238,1
580,93,3
404,304,4
751,378,2
554,156,5
98,371,3
134,19,4
547,188,3
781,445,1
177,355,2
243,466,5
281,399,3
122,423,5
177,278,4
523,226,3
41,117,3
586,195,3
694,314,1
497,392,5
578,422,4
482,131,3
282,249,4
219,114,2
369,160,2
929,182,2
699,149,3
789,133,3
47,167,3
895,329,3
247,252,2
729,315,2
419,368,4
359,179,5
690,160,1
691,416,2
292,142,1
303,272,3
12,108,4
121,427,5
587,255,4
565,498,2
134,223,4
331,408,5
379,39,5
719,70,2
979,49,4
354,161,2
232,25,4
983,113,4
119,359,5
146,322,2
97,132,1
128,237,3
593,89,4
908,252,1
467,259,2
318,86,4
538,228,2
893,183,4
59,223,4
601,42,5
567,399,3
43,54,4
228,347,4
450,289,5
524,416,2
943,143,3
519,11,3
172,495,2
960,401,2
936,322,1
223,67,2
928,192,2
417,360,5
814,314,1
25,123,1
323,497,3
515,283,5
117,357,4
861,379,3
304,353,5
751,204,3
735,16,4
814,165,1
81,484,1
223,65,4
726,306,4
64,320,2
290,162,5
864,430,2
870,377,2
46,32,1
650,365,5
441,215,4
744,318,3
941,274,4
787,61,1
442,206,4
493,276,3
136,70,3
302,279,2
231,225,4
804,311,5
894,370,1
548,50,2
242,414,5
956,44,2
569,346,1
331,233,5
81,171,3
677,334,2
61,83,1
263,52,3
579,355,1
383,460,1
148,154,4
490,228,4
431,441,5
852,332,5
583,36,5
623,176,3
195,70,1
847,96,4
720,259,5
507,157,3
520,287,3
28,346,4
242,473,3
650,106,2
553,394,1
255,445,5
723,472,5
18,60,2
607,301,3
30,330,5
192,44,4
814,15,5
665,464,1
526,385,2
543,137,4
809,82,2
802,333,4
360,485,1
229,85,2
327,488,4
936,357,4
258,24,3
148,220,3
52,295,1
503,260,3
998,337,5
980,448,5
704,59,5
130,401,2
805,286,1
405,262,3
371,18,3
445,317,4
81,384,1
761,364,3
513,26,5
863,500,2
3,304,1
600,246,5
27,221,2
824,347,4
